Hospital Name,Homepage URL,MRF Link,MRF File Type,Link Status,HTTP Code,Detected From,Notes
Ascension Seton Shoal Creek,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-shoal-creek-ip-psych_standardcharges.xlsx,xlsx,NOT_FOUND,404,url-extension,cms-hpt.txt had 93 records; no name-verified match (closest unaccepted: Ascension Seton Smithville (Ascension Se; tried-verify: none passed gate)
Ascension Seton Smithville Hospital,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1154612638_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Smithville (Ascension Seton)'
Ascension Seton Southwest Hospital,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1750499273_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Southwest (Ascension Seton)'
Ascension Seton Williamson Hospital,https://healthcare.ascension.org/price-transparency/price-transparency-files,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx-csv/741109643-1578780870_ascension-seton_standardcharges.csv,csv,OK,200,cms-hpt.txt@healthcare.ascension.org,matched 'Ascension Seton Williamson (Ascension Seton)'
Aspire Behavioral Health Hospital,,https://secure.claraprice.net/price-transparency/TDCQ-1707436189518/machine-readable/262835957_aspire-behavioral-health_standardcharges.json,json,OK,200,cms-hpt.txt,"Aspire Behavioral Health Hospital (Aspire Hospital LLC), Conroe TX. Official site aspirehealthcorp.com/cms-hpt.txt lists"
Atrium Medical Center,,https://www.atriummedicalcenter.com/wp-content/uploads/2026/01/203804862_atriummedicalcenter_standardcharges.csv,csv,OK,200,cms-hpt.txt@atriummedicalcenter.com,lenient matched 'ATRIUM MEDICAL CENTER'
Audie L. Murphy Memorial VA Hospital,,,,NOT_FOUND,,,likely EXEMPT (federal/military/state facility - not subject to CMS price-transparency rule)
Austin Oaks Hospital,https://austinoakshospital.com,https://uhsfilecdn.eskycity.net/bh/841618661_austin-oaks_standardcharges.csv,csv,OK,200,cms-hpt.txt@austinoakshospital.com,matched 'Austin Oaks Hospital'
Austin State Hospital,,,,NOT_FOUND,,,likely EXEMPT (federal/military/state facility - not subject to CMS price-transparency rule)
BMC Baytown Hospital,https://bmchospitals.care/bmc-baytown-hospital-location/,https://bmchospitals.care/921981945_bmc-baytown-hospital_standardcharges.csv,csv,OK,200,url-extension,
BMC North Hospital,https://bmchospitals.care/bmc-north-hospital/,https://bmchospitals.care/832329088_bmc-north-hospital_standardcharges.csv,csv,OK,200,url-extension,
BSA Hospital,https://bsahs.org/,https://cdn.ardenthealthservices.com/price-transparency/30-0754305_BSA-Hospital_standardcharges.csv,csv,OK,200,url-extension,
Ballinger Memorial Hospital,https://www.ballingerhospital.org/public-notices#Price-Transparency,http://files.bmhd.org/75-2312009_BALLINGER%20MEMORIAL%20HOSPITAL%20DISTRICT_STANDARD%20CHARGES.csv,csv,NOT_FOUND,,url-extension,"cms-hpt.txt had 1 records; no name-verified match (closest unaccepted: Ballinger Memorial Hospital; tried-verify: Ballinger Memorial Hospital(ConnectTimeout: HTTPSConnectionPool(host='files.bmhd.org', port=443): Max retries exceeded with url: /compliance/75-))"
Baptist Hospitals of Southeast Texas,,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbMHBBeaumontCombined&type=CDMWithoutLabel&fileType=CSV,csv,OK,200,cms-hpt.txt@bhset.net,lenient matched 'Baptist Hospitals of Southeast Texas'
Baptist Medical Center,,https://baptisthealth.net/-/media/Documents/Patient-Resources/Patient-Pricing/Apr-2026/590910342_baptist-hospital-of-miami_standardcharges.zip,zip,OK,200,cms-hpt.txt@baptisthealth.net,matched 'Baptist Hospital'
Baptist Neighborhood Hospital - Kelly,,https://mrfs.hyvehealthcare.com/Emerus/452497248_Emerus-BHS-SA-Thousand-Oaks-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"baptistneighborhoodhospital.com/cms-hpt.txt lists 'Baptist Neighborhood Hospital Kelly' (San Antonio TX, Emerus/BHS). Al"
Baptist Neighborhood Hospital - Overlook,,https://mrfs.hyvehealthcare.com/Emerus/452497248_Emerus-BHS-SA-Thousand-Oaks-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"baptistneighborhoodhospital.com/cms-hpt.txt lists 'Baptist Neighborhood Hospital Overlook' (San Antonio TX, Emerus/BHS)."
Baptist Neighborhood Hospital - Schertz,,https://mrfs.hyvehealthcare.com/Emerus/452497248_Emerus-BHS-SA-Thousand-Oaks-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"baptistneighborhoodhospital.com/cms-hpt.txt lists 'Baptist Neighborhood Hospital Schertz' (Schertz/San Antonio TX, Emeru"
Baptist Neighborhood Hospital - Westover Hills,,https://mrfs.hyvehealthcare.com/Emerus/452497248_Emerus-BHS-SA-Thousand-Oaks-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"baptistneighborhoodhospital.com/cms-hpt.txt lists 'Baptist Neighborhood Hospital Westover Hills' (San Antonio TX, Emerus"
Baptist Neighborhood Hospital - Zarazmora,,https://mrfs.hyvehealthcare.com/Emerus/452497248_Emerus-BHS-SA-Thousand-Oaks-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,baptistneighborhoodhospital.com/cms-hpt.txt lists 'Baptist Neighborhood Hospital Zarzamora' (matches 'Zarazmora'; San An
Baptist Neighborhood Hospital at Hausman,,https://mrfs.hyvehealthcare.com/Emerus/452497248_Emerus-BHS-SA-Thousand-Oaks-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"baptistneighborhoodhospital.com/cms-hpt.txt lists 'Baptist Neighborhood Hospital Hausman' (San Antonio TX, Emerus/BHS). "
Baptist Neighborhood Hospital- Thousand Oaks,,https://mrfs.hyvehealthcare.com/Emerus/452497248_Emerus-BHS-SA-Thousand-Oaks-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"baptistneighborhoodhospital.com/cms-hpt.txt lists 'Baptist Neighborhood Hospital Thousand Oaks' (San Antonio TX, Emerus/"
Baylor Scott & White All Saints Medical Center - Fort Worth,https://www.bswhealth.com/locations/hospital/fort-worth,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/751008430_baylor-scott--white-all-saints-medical-center--fort-worth_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE ALL SAINTS MEDICAL CENTER - FORT WORTH'
Baylor Scott & White Continuing Care Hospital - Temple,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/202850920_baylor-scott--white-continuing-care-hospital_standardcharges.csv,csv,OK,200,cms-hpt.txt,bswhealth.com cms-hpt.txt lists 'BAYLOR SCOTT & WHITE CONTINUING CARE HOSPITAL' (EIN 20-2850920). BSW operates exactly O
Baylor Scott & White Emergency Hospital - Burleson,,https://mrfs.hyvehealthcare.com/Emerus/364755936_EBD-BEMC-Burleson-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"bsweh.org/cms-hpt.txt lists 'Baylor Scott & White Emergency Hospital Burleson' (Burleson TX, Emerus). Burleson/Mansfield"
Baylor Scott & White Emergency Hospital - Colleyville,,"https://mrfs.hyvehealthcare.com/Emerus/262978009_CR-Emergency-Room,-LLC-_standardcharges.csv",csv,OK,200,cms-hpt.txt,"bsweh.org/cms-hpt.txt lists 'Baylor Scott & White Emergency Hospital Colleyville' (Colleyville TX, Emerus). Colleyville/"
Baylor Scott & White Emergency Hospital - Grand Prairie,,https://mrfs.hyvehealthcare.com/Emerus/364755936_EBD-BEMC-Burleson-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"bsweh.org/cms-hpt.txt lists 'Baylor Scott & White Emergency Hospital Grand Prairie' (Grand Prairie TX, Emerus). Shares E"
Baylor Scott & White Emergency Hospital - Mansfield,,https://mrfs.hyvehealthcare.com/Emerus/364755936_EBD-BEMC-Burleson-LLC_standardcharges.csv,csv,OK,200,cms-hpt.txt,"bsweh.org/cms-hpt.txt lists 'Baylor Scott & White Emergency Hospital Mansfield' (Mansfield TX, Emerus). Shares EBD-BEMC-"
Baylor Scott & White Emergency Hospital - Rockwall,,"https://mrfs.hyvehealthcare.com/Emerus/262978009_CR-Emergency-Room,-LLC-_standardcharges.csv",csv,OK,200,cms-hpt.txt,"bsweh.org/cms-hpt.txt lists 'Baylor Scott & White Emergency Hospital Rockwall' (Rockwall TX, Emerus). Shares CR-Emergenc"
Baylor Scott & White Emergency Hospital- Aubrey,,"https://mrfs.hyvehealthcare.com/Emerus/262978009_CR-Emergency-Room,-LLC-_standardcharges.csv",csv,OK,200,cms-hpt.txt,"bsweh.org/cms-hpt.txt lists 'Baylor Scott & White Emergency Hospital Aubrey' (Aubrey TX, Emerus). Shares CR-Emergency-Ro"
Baylor Scott & White Emergency Hospital- Murphy,,,,NOT_FOUND,,,"no domain found (homepage empty, clearbit miss)"
Baylor Scott & White Emergency Hospitals - Keller,,,,NOT_FOUND,,,"no domain found (homepage empty, clearbit miss)"
Baylor Scott & White Heart and Vascular Hospital-Dallas,https://dallasmedcenter.com/financial-assistance/,https://dallasmedcenter.com/wp-content/uploads/2022/08/271459658_DallasMedicalCenter_standardcharges.json,json,OK,200,url-extension,
Baylor Scott & White Institute for Rehabilitation - Dallas,https://dallasmedcenter.com/financial-assistance/,https://dallasmedcenter.com/wp-content/uploads/2022/08/271459658_DallasMedicalCenter_standardcharges.json,json,OK,200,url-extension,
Baylor Scott & White Institute for Rehabilitation - Fort Worth,https://www.bswrehab.com/patient-resources/pricing-transparency/,https://resources.selectmedical.com/Pricing-Transparency/HBOP/27-4586141_Baylor_Scott_White_Institute_for_Rehabilitation-Dallas_standardcharges.csv,csv,NOT_FOUND,403,url-extension,cms-hpt.txt not found on www.bswrehab.com/bswrehab.com/resources.selectmedical.com/www.resources.selectmedical.com
Baylor Scott & White Institute for Rehabilitation - Frisco,https://medicalcityhealthcare.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,https://core.secure.ehc.com/src/util/detail-price-list/621682203_medical-city-frisco_standardcharges.csv,csv,OK,200,url-extension,
Baylor Scott & White Institute for Rehabilitation - Lakeway,https://www.bswrehab.com/patient-resources/pricing-transparency/,https://resources.selectmedical.com/Pricing-Transparency/HBOP/27-4586141_Baylor_Scott_White_Institute_for_Rehabilitation-Dallas_standardcharges.csv,csv,NOT_FOUND,403,url-extension,cms-hpt.txt not found on www.bswrehab.com/bswrehab.com/resources.selectmedical.com/www.resources.selectmedical.com
Baylor Scott & White McLane Children's Medical Center - Temple,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/patient-tools/estimate-cost-of-care/74-1166904_baylor-scott-and-white-medical-center-temple_standardcharges.csv,csv,NOT_FOUND,404,url-extension,cms-hpt.txt had 30 records; no name-verified match (closest unaccepted: BAYLOR SCOTT & WHITE MCLANE CHILDREN'S M; tried-verify: none passed gate)
Baylor Scott & White Medical Center - Austin,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/813040663_baylor-scott--white-medical-center--austin_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - AUSTIN'
Baylor Scott & White Medical Center - Buda,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/813040663_baylor-scott--white-medical-center--buda_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - BUDA'
Baylor Scott & White Medical Center - Centennial,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/824052186_baylor-scott--white-medical-center--centennial_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - CENTENNIAL'
Baylor Scott & White Medical Center - College Station,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/274434451_baylor-scott--white-medical-center--college-station_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - COLLEGE STATION'
Baylor Scott & White Medical Center - Hillcrest,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/741161944_baylor-scott--white-medical-center--hillcrest_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER HILLCREST'
Baylor Scott & White Medical Center - Irving,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/752586857_baylor-scott--white-medical-center--irving_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - IRVING'
Baylor Scott & White Medical Center - Lake Pointe,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/260194016_baylor-scott--white-medical-center--lake-pointe_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - LAKE POINTE'
Baylor Scott & White Medical Center - Lakeway,https://www.bswhealth.com/locations/lakeway/,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/203749695_baylor-scott--white-medical-center--lakeway_standardcharges.csv,csv,OK,200,url-extension,
Baylor Scott & White Medical Center - Marble Falls,http://www.fallshospital.com/,https://fallshospital.slicedhealth.io/pricer/741471231_falls-community-hospital-and-clinic_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.fallshospital.com,lenient matched 'Falls Community Hospital and Clinic'
Baylor Scott & White Medical Center - McKinney,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/751037591_baylor-scott--white-medical-center--mckinney_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - MCKINNEY'
Baylor Scott & White Medical Center - Pflugerville,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/813040663_baylor-scott--white-medical-center--pflugerville_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - PFLUGERVILLE'
Baylor Scott & White Medical Center - Plano,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/412101361_baylor-scott--white-the-heart-hospital--plano_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO'
Baylor Scott & White Medical Center - Round Rock,,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/203749695_baylor-scott--white-medical-center--round-rock_standardcharges.csv,csv,OK,200,brand:bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK'
Baylor Scott & White Medical Center - Sunnyvale,https://bswhealthsunnyvale.com/hospital-pricing-information/,"https://mrfs.hyvehealthcare.com/USPI/510570864_texas-regional-medical-center,-llc_standardcharges.json",json,OK,200,cms-hpt.txt@bswhealthsunnyvale.com,matched 'Baylor Scott & White Medical Center Sunnyvale'
Baylor Scott & White Medical Center - Taylor,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/741595711_baylor-scott--white-medical-center--taylor_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR'
Baylor Scott & White Medical Center - Temple,https://www.bswhealth.com/locations/hospital/temple,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/741166904_baylor-scott--white-medical-center--temple_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - TEMPLE'
Baylor Scott & White Medical Center - Waxahachie,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/202850920_baylor-scott--white-continuing-care-hospital_standardcharges.csv,csv,OK,200,url-extension,
Baylor Scott & White Medical Center Grapevine,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/751777119_baylor-scott--white-medical-center--grapevine_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - GRAPEVINE'
Baylor Scott & White Medical Center Trophy Club,https://baylortrophyclub.com/patient-information/hospital-pricing-information.html,https://mrfs.hyvehealthcare.com/USPI/481260190_trophy-club-medical-center-lp_standardcharges.json,json,OK,200,cms-hpt.txt@baylortrophyclub.com,matched 'Baylor Scott & White Medical Center Trophy Club'
Baylor Scott & White Medical Center Uptown,https://bayloruptown.com/hospital-pricing-information/,"https://mrfs.hyvehealthcare.com/USPI/752829613_msh-partners,-llc_standardcharges.json",json,OK,200,cms-hpt.txt@bayloruptown.com,matched 'Baylor Scott & White Medical Center Uptown'
Baylor Scott & White Medical Center-Brenham,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/742519752_baylor-scott--white-medical-center--brenham_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE MEDICAL CENTER - BRENHAM'
Baylor Scott & White Orthopedic and Spine Hospital Arlington,https://bswarlington.com/patients-visitors/financial/hospital-pricing-information/,"https://mrfs.hyvehealthcare.com/USPI/261578178_arlington-orthopedic-and-spine-hospital,-llc_standardcharges.json",json,OK,200,cms-hpt.txt@bswarlington.com,matched 'Baylor Scott & White Orthopedic and Spine Hospital - Arlingt'
Baylor Scott & White Surgical Hospital Fort Worth,,"https://mrfs.hyvehealthcare.com/USPI/752658178_fort-worth-surgicare-partners,-ltd._standardcharges.json",json,OK,200,cms-hpt.txt@bshfw.com,lenient matched 'Baylor Scott & White Surgical Hospital - Fort'
Baylor Scott & White Surgical Hospital at Sherman,https://baylorsherman.com/hospital-pricing-information/,https://mrfs.hyvehealthcare.com/USPI/611762781_heritage-park-surgical-hospital-llc_standardcharges.json,json,OK,200,cms-hpt.txt@baylorsherman.com,matched 'Baylor Scott & White Surgical Hospital Sherman'
Baylor Scott & White Texas Spine & Joint Hospital,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,"https://mrfs.hyvehealthcare.com/USPI/752951355_texas-spine-and-joint-hospital,-llc_standardcharges.json",json,OK,200,cms-hpt.txt@tsjh.org,lenient matched 'Baylor Scott & White Texas Spine and Joint Ho'
Baylor Scott and White Medical Center - Frisco at PGA Parkway,https://medicalcityhealthcare.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,https://core.secure.ehc.com/src/util/detail-price-list/621682203_medical-city-frisco_standardcharges.csv,csv,OK,200,url-extension,
Baylor Scott and White Medical Center Frisco,https://medicalcityhealthcare.com/about/legal/pricing-transparency-cms-required-file-of-standard-charges.dot,https://core.secure.ehc.com/src/util/detail-price-list/621682203_medical-city-frisco_standardcharges.csv,csv,OK,200,url-extension,
Baylor Scott and White The Heart Hospital - Denton,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/263603862_baylor-scott--white-the-heart-hospital--denton_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE THE HEART HOSPITAL - DENTON'
Baylor Scott and White The Heart Hospital - Plano,https://www.bswhealth.com/patient-tools/registration-and-billing/estimate-your-cost-of-care,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/412101361_baylor-scott--white-the-heart-hospital--plano_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR SCOTT & WHITE THE HEART HOSPITAL - PLANO'
Baylor St. Luke's Medical Center - Houston,https://www.commonspirit.org/bslmc,https://www.dignityhealth.org/content/dam/dignity-health/documents/mrf-json/southwest/json/471587223_arizona-general-hospital-laveen-hospital_standardcharges.json,json,OK,200,url-extension,
Baylor Surgical Hospital at Las Colinas,https://baylorlascolinas.com/,https://mrfs.hyvehealthcare.com/USPI/542086863_irving-coppell-surgical-hospital-llp_standardcharges.json,json,OK,200,unknown,
Baylor University Medical Center,https://www.bswhealth.com/locations/hospital/dallas,https://wadcdn.azureedge.net/bswhealth/com/siteassets/pricing-transparency/751837454_baylor-university-medical-center_standardcharges.csv,csv,OK,200,cms-hpt.txt@www.bswhealth.com,matched 'BAYLOR UNIVERSITY MEDICAL CENTER'
Bayside Community Hospital,,,,NOT_FOUND,,,"no verified MRF via free lookup (domains: mybayside.church,baysidecc.org,baysidecommunitychurch.org)"
Behavioral Hospital of Bellaire,,,,NOT_FOUND,,,"no domain found (homepage empty, clearbit miss)"
Ben Taub Hospital,https://www.harrishealth.org/locations-hh/Pages/ben-taub.aspx,https://www.harrishealth.org/SiteCollectionDocuments/financials/charge%20description%20master/741536936_HarrisHealthBenTaubHospital_StandardCharges.zip,zip,OK,200,cms-hpt.txt@www.harrishealth.org,matched 'Harris Health Ben Taub Hospital'
Big Bend Regional Medical Center,https://www.bigbendhealthcare.com/,https://apps.para-hcfs.com/PTT/FinalLinks/Reports.aspx?dbName=dbBBRMALPINETX&type=CDMWithoutLabel&fileType=CSV,csv,OK,200,cms-hpt.txt@www.bigbendhealthcare.com,matched 'BIG BEND REGIONAL MEDICAL CENTER'
Big Spring State Hospital,,,,NOT_FOUND,,,likely EXEMPT (federal/military/state facility - not subject to CMS price-transparency rule)
Brooke Army Medical Center,,,,NOT_FOUND,,,likely EXEMPT (federal/military/state facility - not subject to CMS price-transparency rule)
Brownfield Regional Medical Center,,,,NOT_FOUND,,,"no domain found (homepage empty, clearbit miss)"
CHI Saint Joseph Health Rehabilitation Hospital,https://stjoseph.stlukeshealth.org/,https://stjoseph.stlukeshealth.org/content/dam/stjoseph-stlukeshealth/documents/pricing-transparency-files/741282696_St-Joseph-Health-Regional-Hospital_standardcharges.csv,csv,OK,200,url-extension,
